Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
"V3-DRPO-thresholded_involvement_entropy_reg
",0.8100475448770054,0.8584731438587705,0.7945684250608571,0.821325848951568,0.47066849804396216,-0.04359462875163193,-0.004786267876625061,0.19922126829624176
V3-DRPO-symmetric_ce,0.811709572096107,0.861783210216602,0.803879437350124,0.8199109296715532,0.551929065861586,0.060364209475442944,0.013659179210662842,0.2142191380262375
V3-PPO-thresholded_involvement_entropy_reg,0.8082856143824387,0.8568533241517465,0.7852574127715901,0.8068751159769902,0.444675633162435,-0.0747714069749693,-0.00914204865694046,0.12543560564517975
ProstNFound+v2,0.7964834047036279,0.8525651057969199,0.7753344303464658,0.7802583967340879,,,,
