Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
PPO-old,0.7970010853128562,0.8483786152497809,0.7266533393170413,0.7088513638894044,0.5364620873168056,0.04152178579622149,0.010315045714378357,0.23836660385131836
masked,0.798354320589611,0.8482768874420935,0.7298174515750298,0.7157056040081649,0.47271293160893746,-0.04182916279594301,-0.004922613501548767,0.13672320544719696
roi_reward,0.7966741291386066,0.8497949793414299,0.7134665161673444,0.6949921135646688,0.49618085304103826,-0.011348938955602246,-0.00029759109020233154,0.17689336836338043
ProstNFound+,0.7728880674619573,0.8203721672718166,0.722392213926627,0.7401999443310447,,,,
