Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
V3-APO-continuous-fixed,0.8034539286963076,0.859592149743333,0.7950036038241334,0.8032566338838374,0.41764015249389164,-0.11028692676379216,-0.01825876533985138,0.1948215663433075
"V4-PPO-best-mil_prop_bce_entropy_reg-8samples
",0.8009109362299228,0.8548891949417803,0.7073558810330055,0.6815503804045278,0.5185154964437735,0.017869367043807552,0.004641696810722351,0.21593837440013885
V3-PPO-thresholded_involvement_entropy_reg,0.8082856143824387,0.8568533241517465,0.7852574127715901,0.8068751159769902,0.444675633162435,-0.0747714069749693,-0.00914204865694046,0.12543560564517975
ProstNFound,0.7956705553259799,0.8489107299361461,0.7684214343673361,0.7607162738912601,,,,
