Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
Supervised,0.7898443779431732,0.8453424314511081,0.7996364444081796,0.818600389682687,0.39519671440033727,-0.13677257481018348,-0.025095030665397644,0.23554468154907227
PPO,0.7958703618769102,0.8466414173031176,0.7141646154334336,0.6983438485804416,0.5133409489616907,0.011036650078148936,0.004146978259086609,0.21348822116851807
topkmil-supervised,0.7953663044416087,0.8451937523475648,0.7994415205871286,0.8125347930970496,0.38205522237181494,-0.15287196115586105,-0.022664502263069153,0.1609847992658615
hybrid,0.7050401202472152,0.7126815450106422,0.6744273546117616,0.6108160141028021,0.4827900398460555,-0.02294689250203221,-0.0027241408824920654,0.2823072075843811
ProstNFound+,0.7728880674619573,0.8203721672718166,0.722392213926627,0.7401999443310447,,,,
ProstNFound+v2,0.7964834047036279,0.8525651057969199,0.7753344303464658,0.7802583967340879,,,,
