Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
"V3-DRPO-continuous-noise-FST-combined
",0.792850558323078,0.8239717666207587,0.7939927198219393,0.8147383559101875,0.38252213291991355,-0.15278747744316296,-0.021187089383602142,0.14124810695648193
V3-DRPO-continuous-noise-0.3,0.797191809747835,0.8470639789658195,0.783135916300618,0.7888638894043423,0.4036509684994039,-0.1285605835989598,-0.01794513314962387,0.14040614664554596
V3-PPO-thresholded_involvement_entropy_reg,0.8082856143824387,0.8568533241517465,0.7852574127715901,0.8068751159769902,0.444675633162435,-0.0747714069749693,-0.00914204865694046,0.12543560564517975
ProstNFound+v2,0.7964834047036279,0.8525651057969199,0.7753344303464658,0.7802583967340879,,,,
