Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
Supervised,0.7898443779431732,0.8453424314511081,0.7996364444081796,0.818600389682687,0.39519671440033727,-0.13677257481018348,-0.025095030665397644,0.23554468154907227
Heatmap-Only,0.7937042772225072,0.8431513709778389,,,,,,
GRPO-Softmask,0.7918742308583054,0.8436600100162764,0.793213024537736,0.8174522174800519,,,,
PPO-Softmask,0.7970010853128562,0.8483786152497809,0.7266533393170413,0.7088513638894044,0.5364620873168056,0.04152178579622149,0.010315045714378357,0.23836660385131836
ProstNFound+,0.745805197694959,0.7884139852259923,0.6221515056731898,0.5852314900723696,,,,
