Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
Supervised,0.7898443779431732,0.8453424314511081,0.7996364444081796,0.818600389682687,0.39519671440033727,-0.13677257481018348,-0.025095030665397644,0.23554468154907227
PPO-old,0.7970010853128562,0.8483786152497809,0.7266533393170413,0.7088513638894044,0.5364620873168056,0.04152178579622149,0.010315045714378357,0.23836660385131836
hybrid,0.789935199102687,0.8442077751345938,0.7759146686975008,0.7895481536463166,0.45371012561253676,-0.06263833915651353,-0.011253491044044495,0.22776107490062714
roi_reward,0.7966741291386066,0.8497949793414299,0.7134665161673444,0.6949921135646688,0.49618085304103826,-0.011348938955602246,-0.00029759109020233154,0.17689336836338043
ProstNFound+v2,0.7964834047036279,0.8525651057969199,0.7753344303464658,0.7802583967340879,,,,
