Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
Supervised,0.7898443779431732,0.8453424314511081,0.7996364444081796,0.818600389682687,0.39519671440033727,-0.13677257481018348,-0.025095030665397644,0.23554468154907227
PPO-old,0.7970010853128562,0.8483786152497809,0.7266533393170413,0.7088513638894044,0.5364620873168056,0.04152178579622149,0.010315045714378357,0.23836660385131836
topkmil-supervised,0.7953663044416087,0.8451937523475648,0.7994415205871286,0.8125347930970496,0.38205522237181494,-0.15287196115586105,-0.022664502263069153,0.1609847992658615
roi_reward,0.7966741291386066,0.8497949793414299,0.7134665161673444,0.6949921135646688,0.49618085304103826,-0.011348938955602246,-0.00029759109020233154,0.17689336836338043
ProstNFound+,0.7728880674619573,0.8203721672718166,0.722392213926627,0.7401999443310447,,,,
ProstNFound+v2,0.7964834047036279,0.8525651057969199,0.7753344303464658,0.7802583967340879,,,,
