Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
Supervised,0.7898443779431732,0.8453424314511081,0.7996364444081796,0.818600389682687,0.39519671440033727,-0.13677257481018348,-0.025095030665397644,0.23554468154907227
PPO-roi-only,0.7853850590110484,0.8372981094278202,0.750492975942774,0.7543027463351271,0.3828167852075486,-0.1544748305351043,-0.04956156015396118,0.3680824935436249
symmetric_ce,0.7976413744874282,0.8570020032552896,0.7892193527622519,0.8057965299684542,0.50462604091587,-0.0013506199775142824,0.004240214824676514,0.28403475880622864
PPO-topk-mil-soft,0.7537202617465817,0.7849395893326655,0.7553252734599885,0.7530849879383931,0.5208727147448537,0.02192139982884131,0.00692218542098999,0.3810538351535797
ProstNFound+,0.7728880674619573,0.8203721672718166,0.722392213926627,0.7401999443310447,,,,
ProstNFound+v2,0.7964834047036279,0.8525651057969199,0.7753344303464658,0.7802583967340879,,,,
