Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
Supervised,0.7898443779431732,0.8453424314511081,0.7996364444081796,0.818600389682687,0.39519671440033727,-0.13677257481018348,-0.025095030665397644,0.23554468154907227
PPO,0.7970010853128562,0.8483786152497809,0.7266533393170413,0.7088513638894044,0.5364620873168056,0.04152178579622149,0.010315045714378357,0.23836660385131836
masked,0.798354320589611,0.8482768874420935,0.7298174515750298,0.7157056040081649,0.47271293160893746,-0.04182916279594301,-0.004922613501548767,0.13672320544719696
GRPO,0.7918742308583054,0.8436600100162764,0.793213024537736,0.8174522174800519,,,,
ProstNFound+,0.7728880674619573,0.8203721672718166,0.722392213926627,0.7401999443310447,,,,
