Model,Core Auc,Core Auc High Involvement,Core Auc Image Level,Core Auc Image Level Cspca,Attention Auroc,Attention Involvement Correlation Spearman,Attention Contrast,Benign Mean Attention
Supervised,0.7898443779431732,0.8453424314511081,0.7996364444081796,0.818600389682687,0.39519671440033727,-0.13677257481018348,-0.025095030665397644,0.23554468154907227
"V3-DRPO-thresholded_involvement_entropy_reg
",0.8100475448770054,0.8584731438587705,0.7945684250608571,0.821325848951568,0.47066849804396216,-0.04359462875163193,-0.004786267876625061,0.19922126829624176
V4-GDPO-combined_v2-normalmilloss-6roll,0.7935862097151395,0.8432843996494304,0.7864904192675397,0.8078493226943775,0.46727773018010055,-0.044559717710322154,-0.009744316339492798,0.3752780854701996
V3-PPO-thresholded_involvement_entropy_reg,0.8082856143824387,0.8568533241517465,0.7852574127715901,0.8068751159769902,0.444675633162435,-0.0747714069749693,-0.00914204865694046,0.12543560564517975
ProstNFound+v2,0.7964834047036279,0.8525651057969199,0.7753344303464658,0.7802583967340879,,,,
